1,8977439,5,1510630769,8977440
2,8977439,5,1516840131,8977441
4,8977439,3,1521724168,8977443
5,8977439,4,1523318178,8977444
1,9271698,1,1508845657,9271699
3,9271698,4,1514027253,9271701
4,9271698,2,1510245914,9271702
5,9271698,4,1523520041,9271703
1,15390631,1,1505233996,15390632
2,15390631,1,1513391368,15390633
4,15390631,4,1514924113,15390635
5,15390631,2,1503331324,15390636
1,27940939,5,1521861269,27940940
3,27940939,5,1500747034,27940942
4,27940939,2,1507258110,27940943
5,27940939,1,1519446401,27940944
1,37795157,3,1520124310,37795158
3,37795157,3,1512710683,37795160
4,37795157,5,1517447512,37795161
5,37795157,5,1500139509,37795162
1,54031795,3,1510721750,54031796
3,54031795,3,1518866033,54031798
4,54031795,5,1512183765,54031799
5,54031795,1,1514535121,54031800
1,68046316,4,1501983394,68046317
3,68046316,4,1503616628,68046319
4,68046316,1,1515899948,68046320
5,68046316,2,1511478156,68046321
1,91159299,4,1508294056,91159300
2,91159299,1,1499403536,91159301
4,91159299,1,1501929430,91159303
5,91159299,3,1517878343,91159304
1,101106914,1,1523722194,101106915
2,101106914,5,1500511917,101106916
4,101106914,4,1503537166,101106918
5,101106914,5,1499694625,101106919
1,117000611,3,1508827140,117000612
2,117000611,1,1522210151,117000613
3,117000611,5,1506808470,117000614
4,117000611,3,1500796243,117000615
5,117000611,2,1502094184,117000616
1,162293368,4,1511366668,162293369
2,162293368,3,1503438660,162293370
4,162293368,1,1512106955,162293372
5,162293368,5,1515300394,162293373
1,179857812,2,1517479828,179857813
2,179857812,3,1522266985,179857814
4,179857812,1,1507294962,179857816
5,179857812,2,1520976508,179857817
1,186412435,4,1520582219,186412436
3,186412435,3,1499821417,186412438
4,186412435,2,1516658335,186412439
5,186412435,5,1511476504,186412440
1,193347082,5,1510845170,193347083
2,193347082,5,1517847947,193347084
4,193347082,4,1499316469,193347086
5,193347082,1,1509054259,193347087
1,197761128,4,1512897508,197761129
4,197761128,2,1509744116,197761132
